sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
bc330757e04b4288f56c156273bf486b4f94c8665f52c4888db8fe63b9df923e,1406464,1,29.0,0.0,29.0,29.0,111,117,8,111,52.1802,0,111,3005,71,0.0,Windows,RemcosRAT,MalwareBazaar
bc5c22289244aaf9918844f24121d4c5012feb63a270d6f40a386017155881c4,58368,0,13.0,0.0,13.0,13.0,581,684,105,37,18.5135,11,345,146,1,38.0,Windows,Heodo,MalwareBazaar
bd73efeddb6769a8b1f068a6f4361f042e838aaaa55cae27bb2f1be4d0f3237d,283648,1,15.0,0.0,15.0,15.0,39,41,4,39,18.1538,0,39,463,1,0.0,Windows,Formbook,MalwareBazaar
bbb41ec382738c0ee5b94d023f023209928ca98893f146a8cfdaa608afe7b4e6,472124,0,10.0,0.0,10.0,10.0,6,13,9,6,2.0,0,6,349,2,30.0,Android,Arsink,MalwareBazaar
ba71c7e507e1b0d8202447f9f86f585286b4ab01b58c7e32bb4f495381ef5004,173019,0,23.0,0.0,23.0,23.0,8,15,9,8,2.75,0,8,513,2,30.0,Android,Arsink,MalwareBazaar
ba4523a750e08070207256b70cbb3d096b19f711eab47eace3abf7313b377126,35490459,0,59.0,0.0,59.0,59.0,180,253,75,180,61.3111,0,180,52800,971,56.0,Windows,Win.Suspicious.Generic,MalwareBazaar
ba8906f01e04796f2dd32f436dcc03dbe11b0697f5e7b9c64166f2287e868214,743424,0,30.0,0.0,30.0,30.0,166,227,63,166,58.4759,0,166,2868,102,30.0,Windows,GCleaner,MalwareBazaar
bbeac5cab525a496b411f42c7ef95bd5f33241c7f5a22f65b6bad71e96bf5a30,815822,0,23.0,0.0,23.0,23.0,135,158,25,135,57.1556,0,135,1899,20,26.0,Windows,Vidar,MalwareBazaar
b85edd0293e86aac225f74bf738fcd6b682c327884d39f7adbee94a6d327c0bd,102400,1,28.0,0.0,28.0,28.0,496,576,82,36,17.9167,12,342,306,1,38.0,Windows,Heodo,MalwareBazaar
b89bb816db8bea450d07317c1212e49596c360e97eb2d0cbd37defbaf62e0651,19968,0,20.0,0.0,20.0,20.0,17,23,8,17,6.1765,0,17,351,17,0.0,Windows,Win.Generic,MalwareBazaar
